"REF_DATE","GEO","DGUID","Trade","Trade partners","Service categories","Seasonal adjustment ","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-11","Canada","2016A000011124","Exports (receipts)","All countries","Total services","Not seasonally adjusted","Dollars","81","millions","6","v1105277794","1.1.1.1.1","17855","","","","0"
"2024-12","Canada","2016A000011124","Exports (receipts)","All countries","Total services","Not seasonally adjusted","Dollars","81","millions","6","v1105277794","1.1.1.1.1","18472","","","","0"
"2025-01","Canada","2016A000011124","Exports (receipts)","All countries","Total services","Not seasonally adjusted","Dollars","81","millions","6","v1105277794","1.1.1.1.1","17643","","","","0"
"2025-02","Canada","2016A000011124","Exports (receipts)","All countries","Total services","Not seasonally adjusted","Dollars","81","millions","6","v1105277794","1.1.1.1.1","17463","","","","0"
"2025-03","Canada","2016A000011124","Exports (receipts)","All countries","Total services","Not seasonally adjusted","Dollars","81","millions","6","v1105277794","1.1.1.1.1","17727","","","","0"
"2024-11","Canada","2016A000011124","Exports (receipts)","All countries","Commercial services","Not seasonally adjusted","Dollars","81","millions","6","v1105277796","1.1.1.2.1","10263","","","","0"
"2024-12","Canada","2016A000011124","Exports (receipts)","All countries","Commercial services","Not seasonally adjusted","Dollars","81","millions","6","v1105277796","1.1.1.2.1","10230","","","","0"
"2025-01","Canada","2016A000011124","Exports (receipts)","All countries","Commercial services","Not seasonally adjusted","Dollars","81","millions","6","v1105277796","1.1.1.2.1","10323","","","","0"
"2025-02","Canada","2016A000011124","Exports (receipts)","All countries","Commercial services","Not seasonally adjusted","Dollars","81","millions","6","v1105277796","1.1.1.2.1","10280","","","","0"
"2025-03","Canada","2016A000011124","Exports (receipts)","All countries","Commercial services","Not seasonally adjusted","Dollars","81","millions","6","v1105277796","1.1.1.2.1","10230","","","","0"
"2024-11","Canada","2016A000011124","Exports (receipts)","All countries","Travel services","Not seasonally adjusted","Dollars","81","millions","6","v1105277798","1.1.1.3.1","5446","","","","0"
"2024-12","Canada","2016A000011124","Exports (receipts)","All countries","Travel services","Not seasonally adjusted","Dollars","81","millions","6","v1105277798","1.1.1.3.1","5939","","","","0"
"2025-01","Canada","2016A000011124","Exports (receipts)","All countries","Travel services","Not seasonally adjusted","Dollars","81","millions","6","v1105277798","1.1.1.3.1","5390","","","","0"
"2025-02","Canada","2016A000011124","Exports (receipts)","All countries","Travel services","Not seasonally adjusted","Dollars","81","millions","6","v1105277798","1.1.1.3.1","5477","","","","0"
"2025-03","Canada","2016A000011124","Exports (receipts)","All countries","Travel services","Not seasonally adjusted","Dollars","81","millions","6","v1105277798","1.1.1.3.1","5615","","","","0"
"2024-11","Canada","2016A000011124","Exports (receipts)","All countries","Transportation services","Not seasonally adjusted","Dollars","81","millions","6","v1105277800","1.1.1.4.1","2009","","","","0"
"2024-12","Canada","2016A000011124","Exports (receipts)","All countries","Transportation services","Not seasonally adjusted","Dollars","81","millions","6","v1105277800","1.1.1.4.1","2166","","","","0"
"2025-01","Canada","2016A000011124","Exports (receipts)","All countries","Transportation services","Not seasonally adjusted","Dollars","81","millions","6","v1105277800","1.1.1.4.1","1792","","","","0"
"2025-02","Canada","2016A000011124","Exports (receipts)","All countries","Transportation services","Not seasonally adjusted","Dollars","81","millions","6","v1105277800","1.1.1.4.1","1567","","","","0"
"2025-03","Canada","2016A000011124","Exports (receipts)","All countries","Transportation services","Not seasonally adjusted","Dollars","81","millions","6","v1105277800","1.1.1.4.1","1744","","","","0"
"2024-11","Canada","2016A000011124","Exports (receipts)","All countries","Government services","Not seasonally adjusted","Dollars","81","millions","6","v1105277802","1.1.1.5.1","137","","","","0"
"2024-12","Canada","2016A000011124","Exports (receipts)","All countries","Government services","Not seasonally adjusted","Dollars","81","millions","6","v1105277802","1.1.1.5.1","137","","","","0"
"2025-01","Canada","2016A000011124","Exports (receipts)","All countries","Government services","Not seasonally adjusted","Dollars","81","millions","6","v1105277802","1.1.1.5.1","138","","","","0"
"2025-02","Canada","2016A000011124","Exports (receipts)","All countries","Government services","Not seasonally adjusted","Dollars","81","millions","6","v1105277802","1.1.1.5.1","138","","","","0"
"2025-03","Canada","2016A000011124","Exports (receipts)","All countries","Government services","Not seasonally adjusted","Dollars","81","millions","6","v1105277802","1.1.1.5.1","138","","","","0"


